SampleID,ParticleID,ParticleColor,TopOmnicLibraryResult,MatchNumOmni,OpenSpecyTopResult,MatchNumSpecy,ResultSummary,Categorization,Batch,Species,SampleType,Substrate,CollectionState,Age,ParticleSizemm,
F076,63,Clear/White,Polyethylene terephthalate,86.56,Fibre Polyester,0.96,Polyester,Synthetic,2,COTE,feces,cloth,MA,AHY,2.2,
F076,64,Clear/White,Polyethylene terephthalate,88.67,Polyethylene Terepthalate,0.96,Polyester,Synthetic,2,COTE,feces,cloth,MA,AHY,1.6,
F076,65,Multicolor,Polyethylene terephthalate,88.63,Polyethylene Terepthalate,0.98,Polyester,Synthetic,2,COTE,feces,cloth,MA,AHY,4.5,
F076,66,Gray,Cellulose Acetate Filter ATR 64,94.18,Cellulose,0.97,Cellulose,Natural,2,COTE,feces,cloth,MA,AHY,,
F111,67,Clear/White,Cellulose Acetate Filter ATR 64,91.74,Fibre Viscose,0.95,Cellulose,Natural,2,COTE,feces,cloth,NH,HY,,
F111,68,Pink,Cellulose Acetate Filter ATR 64,84.45,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NH,HY,0.4,
F106,70,Blue,Poly(Vinyl Acetate :Ethyelene ),70.07,Acrylic,0.82,Acrylic,Synthetic,2,COTE,feces,metal,NH,HY,1.6,
F106,71,Clear/White,Cellulose Acetate Filter ATR 64,88.92,Cellulose,0.95,Cellulose,Natural,2,COTE,feces,metal,NH,HY,,
F106,72,Blue,Cellulose Acetate Filter ATR 64,91.93,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,COTE,feces,metal,NH,HY,2,
F080,75,Blue,Cellulose Acetate Filter ATR 64,85.93,Cellulose,0.95,Dyed Cellulose,Dyed Natural,2,COTE,feces,skin,MA,AHY,2,
F028,78,Clear/White,Wool Raw Cashmere Mongolia #267,88.51,Wool Raw Cashmere Mongolia,0.91,Other natural,Natural,2,COTE,feces,skin,NH,AHY,,
F071,79,Blue,Fibre Cotton Combers #47,91.95,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,"cloth, skin",MA,AHY,0.6,
F071,80,Pink,Cellulose Acetate Filter ATR 64,91.58,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,"cloth, skin",MA,AHY,1.2,
B003,81,Black,Cellulose #31,80.25,Cardboard/Cellulose,0.96,Dyed Cellulose,Dyed Natural,2,field blank,blank,skin,NH,,,
F084,82,Black,Poly(acrylonitrile),74.25,Acrylic,0.87,Acrylic,Synthetic,2,COTE,feces,skin,MA,AHY,1.4,
F084,83,Blue,Cellulose Acetate Filter ATR 64,84.78,Celllulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,skin,MA,AHY,1.3,
F088,85,Blue,Cellulose #31,80.04,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,ROST,feces,cloth,NH,HY,0.4,
F086,87,Multicoclor,Cellulose Acetate Filter ATR 64,87.2,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,MA,AHY,4.6,
F086,88,Clear/White,Cellulose Acetate Filter ATR 64,91.14,Cellulose,0.99,Cellulose,Natural,2,COTE,feces,cloth,MA,AHY,,
F086,89,Pink,Cellulose Acetate Filter ATR 64,89.29,Cellulose,0.99,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,MA,AHY,0.8,
F069,92,Clear/White,Cellulose #31,84.52,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,skin,MA,AHY,,
F069,93,Blue,Fibre Polyester,76.1,Polyvinylchloride,0.84,Polyvinylchloride,Synthetic,2,COTE,feces,skin,MA,AHY,1.5,
F069,94,Orange,Cellulose Acetate Filter ATR 64,81.56,Cellulose,0.95,Dyed Cellulose,Dyed Natural,2,COTE,feces,skin,MA,AHY,2,
F010,95,Clear/White,Polyethylene terephthalate,94.08,PET,0.96,Polyester,Synthetic,2,COTE,feces,cloth,NH,AHY,1.6,
F010,96,Clear/White,Cellulose Acetate Filter ATR 64,97.43,Cellulose,0.97,Cellulose,Natural,2,COTE,feces,cloth,NH,AHY,,
F010,97,Clear/White,Cellulose Acetate Filter ATR 64,91.03,Cellulose,0.97,Cellulose,Natural,2,COTE,feces,cloth,NH,AHY,,
F129,98,Black,Phenoxy Resin,61.47,Polyvinylchloride,0.83,Polyvinylchloride,Synthetic,2,COTE,feces,skin,NH,AHY,3.2,
F129,99,Clear/White,Cellulose Acetate Filter ATR 64,94.93,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,skin,NH,AHY,,
F140,103,Blue,Wool Raw Cashmere Mongolia #267,84.35,Fur Dog,0.96,Dyed textile,Dyed Natural,2,COTE,feces,skin,NJ,HY,3.6,
F140,104,Clear/White,Cellulose Acetate Filter ATR 64,91.36,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,skin,NJ,HY,,
F052,107,Clear/White,Cellulose #31,83.67,Cellulose,0.97,Cellulose,Natural,2,ROST,feces,metal,NH,HY,,
B018,108,Blue,Fibre Linen #122,74.31,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,vegetation,NH,,,
B018,109,Gray,Cellulose #31,88.7,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,vegetation,NH,,,
F122,110,Clear/White,Cellulose #31,86.56,Cellulose,0.98,Cellulose,Natural,2,ROST,feces,skin,NH,HY,,
F122,111,Clear/White,Cellulose Acetate Filter ATR 64,92.7,Cellulose,0.98,Cellulose,Natural,2,ROST,feces,skin,NH,HY,,
B012,112,Clear/White,Cellulose Acetate Filter ATR 64,87.65,Cellulose,0.97,Cellulose,Natural,2,field blank,blank,data sheet,NH,,,
F142,114,Clear/White,Cellulose Acetate Filter ATR 64,93.84,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,cloth,NJ,AHY,,
B005,115,Blue,Cellulose Acetate Filter ATR 64,83.7,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,cloth,NH,,,
B005,116,Blue,Bentonite (Brown),78,Cardboard/Cellulose,0.96,Other synthetic,Semi-Synthetic,2,field blank,blank,cloth,NH,,,
B005,117,Gray,Cellulose Acetate Filter ATR 64,88.64,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,field blank,blank,cloth,NH,,,
B004,118,Clear/White,Cellulose #31,75.34,Cellulose,0.96,Cellulose,Natural,2,field blank,blank,cloth,NH,,,
B023,119,Clear/White,Fibre Linen #122,89.01,Cellulose,0.97,Cellulose,Natural,2,field blank,blank,straw hat,NH,,,
B016,120,Gray,Cellulose Acetate Filter ATR 64,86.35,Cellulose,0.9,Dyed Cellulose,Dyed Natural,2,field blank,blank,vegetation,NH,,,
F066,122,Blue,"Methyl Alcohol, 99.9% Spectrophotometric grade",71.37,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,COTE,feces,skin,MA,AHY,0.8,
F156,124,Pink,Fur Dog #62,89.38,Fur Wild Boar,0.85,Dyed textile,Dyed Natural,2,COTE,feces,vegetation,NJ,HY,5.4,
F118,126,Blue,Cellulose Acetate Filter ATR 64,79.44,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,ROST,feces,metal,NH,HY,0.6,
LB06,128,Blue,Wool Raw Cashmere Mongolia #267,89.98,Wool Raw Cashmere Mongolia,0.89,Dyed textile,Dyed Natural,3,lab blank,blank,,,,,
LB06,129,Blue,Fur Dog #62,82.92,Fur Red Deer,0.85,Dyed textile,Dyed Natural,3,lab blank,blank,,,,,
LB12,133,Brown,Merino Scoured Wool made Rough #126,75.26,Fibre Tussah Silk,0.92,Dyed textile,Dyed Natural,2,lab blank,blank,,,,,
LB08,134,Gray,Cellulose Acetate Filter ATR 64,93.16,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,lab blank,blank,,,,,
LB09,135,Pink,Cellulose Acetate Filter ATR 64,91.73,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,lab blank,blank,,,,,
B007,136,Blue,Cellulose Acetate Filter ATR 64,73.23,Cardboard/Cellulose,0.94,Dyed Cellulose,Dyed Natural,2,field blank,blank,cloth,NH,,,
F042,137,Blue,Fibre Linen #122,56.39,Reading too low for clear OS reading,,Dyed textile,Dyed Natural,2,COTE,feces,cloth,NH,AHY,1.1,
F128,140,Clear/White,Cellulose Acetate Filter ATR 64,89.02,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,metal,NH,HY,,
F128,141,Clear/White,Cellulose Acetate Filter ATR 64,72.39,Cellulose,0.95,Cellulose,Natural,2,COTE,feces,metal,NH,HY,,
B015,142,Clear/White,Polyethylene terephthalate,88.24,Polyester,0.99,Polyester,Synthetic,2,field blank,blank,rock,NH,,,
B032,143,Black,Fibre Linen #122,69.81,Reading too low for clear OS reading,,Dyed textile,Dyed Natural,2,field blank,blank,paper,NH,,,
F126,152,White,Cellulose Acetate Filter ATR 64,87.02,Cellulose,0.96,Cellulose,Natural,1,COTE,feces,cloth,NH,HY,,
F104,153,White,Cellulose acetate filter ATR 64,92,Cellulose,0.97,Cellulose,Natural,1,ROST,feces,cloth,NH,HY,,
F104,154,White,Cellulose Acetate Filter ATR 64,93.02,Cellulose,0.97,Cellulose,Natural,1,ROST,feces,cloth,NH,HY,,
F104,155,White,Cellulose Acetate Filter ATR 64,94.42,Cellulose,0.93,Cellulose,Natural,1,ROST,feces,cloth,NH,HY,,
F127,156,White,Fibre Cotton Comberse #47,88.29,Cellulose,0.97,Cellulose,Natural,1,COTE,feces,"wood, metal",NH,HY,,
F127,157,Clear,Cellulose #31,84.25,Cellulose,0.98,Cellulose,Natural,1,COTE,feces,"wood, metal",NH,HY,,
F130,159,White,Cellulose Acetate Filter ATR 64,86.74,Cellulose,0.98,Cellulose,Natural,1,COTE,feces,paper hat,NH,AHY,,
F049,160,Blue,Indigo Synthetic,76.13,Fibre Linen,0.89,Other synthetic,Semi-Synthetic,1,COTE,feces,metal,NH,HY,0.5,
F103,162,Blue,Cellulose Acetate Filter ATR 64,91.1,Cellulose,0.99,Dyed Cellulose,Dyed Natural,1,ROST,feces,cloth,NH,HY,2.3,
F153,163,Blue,Cellulose#31,83.88,Cellulose,0.98,Dyed Cellulose,Dyed Natural,1,COTE,feces,cloth,NJ,AHY,,
F149,164,Pink,Cellulose Acetate Filter ATR 64,84.12,Cardboard/Cellulose,0.97,Dyed Cellulose,Dyed Natural,1,COTE,feces,skin,NJ,AHY,,
F158,165,White,Cellulose Acetate Filter ATR 64,95.13,Cellulose,0.98,Cellulose,Natural,1,COTE,feces,cloth,NJ,AHY,,
F158,166,Blue,Cellulose Acetate Filter ATR 64,92.32,Cardboard/Cellulose,0.97,Dyed Cellulose,Dyed Natural,1,COTE,feces,cloth,NJ,AHY,1.7,
F070,167,Black,Cellulose#31,87.57,Cardboard/Cellulose,0.97,Dyed Cellulose,Dyed Natural,1,COTE,feces,"cloth, skin",MA,AHY,0.6,
F070,168,White,Cellulose Acetate Filter ATR 64,92.67,Algae Fucus Serratus,0.7,Other natural,Natural,1,COTE,feces,"cloth, skin",MA,AHY,,
F116,169,White,Cellulose acetate filter ATR 64,93.27,Cellulose,0.98,Cellulose,Natural,1,COTE,feces,cloth,NH,HY,,
F116,170,White,Cellulose #31,83.87,Cellulose,0.96,Cellulose,Natural,1,COTE,feces,cloth,NH,HY,,
F075,171,White,Cellulose acetate filter ATR 64,91.14,Cardboard/Cellulose,0.94,Cellulose,Natural,1,COTE,feces,cloth,MA,AHY,,
F075,172,Gray,Cellulose Acetate Filter ATR 64,86.43,Cellulose,0.97,Dyed Cellulose,Dyed Natural,1,COTE,feces,cloth,MA,AHY,1.7,
F075,173,White,Nylon 6#147,92.08,Polyamide,0.95,Polyamide,Synthetic,1,COTE,feces,cloth,MA,AHY,0.9,
F044,175,yellow,Cellulose #31,87.92,Cellulose,0.98,Dyed Cellulose,Dyed Natural,1,ROST,feces,cloth,NH,HY,1.4,
F057,176,White,Cellulose Acetate Filter ATR 64,93.97,Cellulose,0.95,Cellulose,Natural,1,ROST,feces,skin,NH,HY,,
F057,177,White,Polyethylene terephthalate #136,86.12,Polyethylene Terepthalate,0.98,Polyester,Synthetic,1,ROST,feces,skin,NH,HY,9.1,
F017,180,Red,Wool Raw Cashmere Afghanistan #266,73.16,Fibre Tussah Silk,0.83,Dyed textile,Dyed Natural,1,COTE,feces,cloth,NH,AHY,1.6,
F137,182,White,Cellulose Acetate Filter ATR 64,92.63,Cellulose,0.98,Cellulose,Natural,1,COTE,feces,skin,NH,HY,,
F067,183,White,Cellulose acetate filter ATR 64,92.54,Cellulose,0.98,Cellulose,Natural,1,COTE,feces,skin,MA,AHY,,
F025,184,Black,Cellulose Acetate Filter ATR 64,89.34,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,skin,NH,AHY,3.3,
F064,189,Multicolor,Fibre Linen #122,83.12,Cellulose,0.85,Dyed Cellulose,Dyed Natural,2,COTE,feces,"cloth, skin",MA,AHY,2.1,
F092,190,Clear/White,Fur Dog #62,82.92,Fur Red Deer,0.85,Other natural,Natural,2,ROST,feces,metal,NH,HY,,
F092,191,Clear/White,Fibre Cotton Combers #47,75.13,Cellulose,0.94,Cellulose,Natural,2,ROST,feces,metal,NH,HY,,
F092,192,Clear/White,Cellulose Acetate Filter ATR 64,93.16,Cellulose,0.98,Cellulose,Natural,2,ROST,feces,metal,NH,HY,,
F092,193,Blue,Fibre Cotton Combers #47,69.81,Cellulose,0.93,Dyed Cellulose,Dyed Natural,2,ROST,feces,metal,NH,HY,1,
F125,194,Clear/White,Fibre Linen #122,43.93,Reading too low for clear OS reading,,Dyed textile,Natural,2,COTE,feces,data sheet,NH,HY,,
F125,195,Blue,Cellulose Acetate Filter ATR 64,84.26,Cellulose,0.9,Dyed Cellulose,Dyed Natural,2,COTE,feces,data sheet,NH,HY,1.5,
F146,196,Blue,Cellulose Acetate Filter ATR 64,92.37,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NJ,AHY,1.7,
F054,198,Multicolor,Cellulose #31,90.74,Cardboard/Cellulose,0.95,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NH,HY,2.2,
F054,199,Multicolor,Cellulose Acetate Filter ATR 64,88.61,Cellulose,0.96,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NH,HY,0.9,
F054,200,Blue,Fibre Linen #122,76.97,Cellulose,0.94,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NH,HY,0.4,
F093,201,Clear/White,Cellulose Acetate Filter ATR 64,91.73,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,cloth,NH,HY,,
F093,203,Gray,Cellulose Acetate Filter ATR 64,83.48,Cellulose,0.64,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NH,HY,1.4,
F155,204,Black,Polyethylene terephthalate,87.58,Polyethylene terepthalate,0.98,Polyester,Synthetic,2,COTE,feces,skin,NJ,AHY,3.9,
F073,205,Blue,Cellulose #31,85,Cellulose,0.96,Dyed Cellulose,Dyed Natural,2,COTE,feces,skin,MA,AHY,1.2,
F147,206,Gray,Cellulose #31,82.8,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NJ,AHY,0.6,
F147,207,Pink,Cellulose #31,91.08,Cardboard/Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NJ,AHY,1.8,
F117,208,Blue,Cellulose Acetate Filter ATR 64,88.73,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,rock,NH,HY,0.4,
F117,209,Clear/White,Cellulose Acetate Filter ATR 64,93.05,Cellulose,0.98,Cellulose,Natural,2,COTE,feces,rock,NH,HY,,
F102,210,Clear/White,Nylon,90.11,Polyamide 6,0.97,Polyamide,Synthetic,2,ROST,feces,cloth,NH,HY,0.8,
F105,211,Blue,Cellulose Acetate Filter ATR 64,96.81,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,ROST,feces,cloth,NH,HY,1.6,
F105,212,Blue,Cellulose Acetate Filter ATR 64,92.96,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,ROST,feces,cloth,NH,HY,0.6,
F105,213,Blue,Cellulose Acetate Filter ATR 64,83.8,Cellulose,0.96,Dyed Cellulose,Dyed Natural,2,ROST,feces,cloth,NH,HY,1.1,
F105,214,Blue,Cellulose Acetate Filter ATR 64,93.68,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,ROST,feces,cloth,NH,HY,,
F105,215,Clear/White,Cellulose Acetate Filter ATR 64,91.35,Cellulose,0.97,Cellulose,Natural,2,ROST,feces,cloth,NH,HY,,
F105,216,Clear/White,Cellulose #31,88.03,Cellulose,0.98,Cellulose,Natural,2,ROST,feces,cloth,NH,HY,,
F145,217,Blue,Fibre Polyester,82.16,Reading too low for clear OS reading,,Polyester,Synthetic,2,COTE,feces,vegetation,NJ,HY,1,
F145,218,Purple,Cellulose #31,85.27,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,vegetation,NJ,HY,4.9,
F023,220,Gray,Wool Raw Cashmere Mongolia #267,83.32,Fur Dog,0.94,Dyed textile,Dyed Natural,2,COTE,feces,straw hat,NH,AHY,0.8,
F023,221,Green,Polyethylene terephthalate,93.72,PET,0.99,Polyester,Synthetic,2,COTE,feces,straw hat,NH,AHY,2.3,
F023,222,Clear/White,Wool Raw Cashmere Mongolia #267,89.98,Wool Raw Cashmere Mongolia,0.89,Other natural,Natural,2,COTE,feces,straw hat,NH,AHY,,
B002,223,Red,Fibre Polyester,92.84,PET,0.97,Polyester,Synthetic,2,field blank,blank,skin,NH,,,
B002,224,Blue,Cellulose #31,81.99,Cardboard/Cellulose,0.96,Dyed Cellulose,Dyed Natural,2,field blank,blank,skin,NH,,,
B008,225,Clear/White,Fibre Kapok #106,89.66,Cardboard/Cellulose,0.96,Cellulose,Natural,2,field blank,blank,cloth,NH,,,
B001,226,Blue,Polyethylene terephthalate,91.91,Polyesterterpthalate,0.98,Polyester,Synthetic,2,field blank,blank,skin,NH,,,
B006,227,Clear/White,Fibre Polyester,93.7,Polyester,0.98,Polyester,Synthetic,2,field blank,blank,cloth,NH,,,
B010,228,Blue,Fibre Linen #122,75.79,Reading too low for clear OS reading,,Dyed textile,Dyed Natural,2,field blank,blank,data sheet,NH,,,
B010,229,Yellow,Fibre Linen #122,76.07,Algea Laminaria Digita and Hyperborea,0.88,Dyed textile,Dyed Natural,2,field blank,blank,data sheet,NH,,,
B009,230,Clear/White,Cellulose #31,70.95,Cardboard/Cellulose,0.96,Dyed Cellulose,Dyed Natural,2,field blank,blank,cloth,NH,,,
B025,231,Brown,Wood Mahagoni #96,84.18,Cardboard/Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,field blank,blank,straw hat,NH,,,
B025,232,Blue,Cellulose Acetate Filter ATR 64,89.68,Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,field blank,blank,straw hat,NH,,,
B017,233,Blue,Cellulose Acetate Filter ATR 64,89.43,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,vegetation,NH,,,
B017,235,Blue,Cellulose Acetate Filter ATR 64,94.69,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,vegetation,NH,,,
B017,236,Clear/White,Cellulose Acetate Filter ATR 64,95.55,Cellulose,0.96,Cellulose,Natural,2,field blank,blank,metal,NH,,,
B031,238,Clear/White,Cellulose Acetate Filter ATR 64,82.5,Cellulose,0.84,Cellulose,Natural,2,field blank,blank,pumpkin,NH,,,
B031,239,Clear/White,Fibre Grass #85,75.83,Fibre Cocoanut,0.82,Other natural,Natural,2,field blank,blank,pumpkin,NH,,,
B025,240,Blue,Cellulose #31,86.23,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,straw hat,NH,,,
B024,241,Clear/White,Nylon,78.6,Reading too low for clear OS reading,,Nylon,Synthetic,2,field blank,blank,straw hat,NH,,,
B029,243,Clear/White,Cellulose #31,90.02,Cellulose,0.98,Cellulose,Natural,2,field blank,blank,pumpkin,NH,,,
B011,245,Blue,Cellulose Acetate Filter ATR 64,88.57,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,field blank,blank,data sheet,NH,,,
B021,247,Clear/White,Polyethylene terephthalate,84.57,Polyesterterpthalate,0.99,Polyester,Synthetic,2,field blank,blank,metal,NH,,,
B030,249,Pink,Cellulose Acetate Filter ATR 64,80.83,Cellulose,0.92,Dyed Cellulose,Dyed Natural,2,field blank,blank,pumpkin,NH,,,
B030,250,Gray,Wool Raw Cashmere Mongolia #267,83.65,Fibre Tussah Silk,0.86,Dyed textile,Dyed Natural,2,field blank,blank,pumpkin,NH,,,
LB14,251,Clear/White,Cellulose #31,80.12,Cellulose,0.94,Cellulose,Natural,2,lab blank,blank,,,,,
LB11,253,Gray,Cellulose Acetate Filter ATR 64,91.73,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,lab blank,blank,,,,,
B020,254,Clear/White,Polyethylene Terephthalate,89.47,Polyethylene terepthalate,0.98,Polyester,Synthetic,2,field blank,blank,metal,NH,,,
LB02,255,Blue,Cellulose Acetate Filter ATR 64,88.73,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,lab blank,blank,,,,,
LB04,256,Clear/White,Polyethylene terephthalate,93.72,PET,0.99,Polyester,Synthetic,3,lab blank,blank,,,,,
LB05,258,Blue,Cellulose Acetate Filter ATR 64,91.35,Cellulose,0.97,Dyed Cellulose,Dyed Natural,3,lab blank,blank,,,,,
F159,259,Blue,Fibre Linen #122,85.13,Cardboard/Cellulose,0.97,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NJ,AHY,,
F143,260,Gray,Cellulose Acetate Filter ATR 64,90.55,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NJ,AHY,,
F143,261,Purple,Cellulose Acetate Filter ATR 64,92.71,Cellulose,0.98,Dyed Cellulose,Dyed Natural,2,COTE,feces,cloth,NJ,AHY,,
F039,262,Clear/White,Cellulose Acetate Filter ATR 64,94.69,Cellulose,0.98,Cellulose,Natural,3,ROST,feces,cloth,NH,HY,,
F039,263,Purple,Polyethylene terephthalate,84.57,Polyesterterpthalate,0.99,Polyester,Synthetic,3,ROST,feces,cloth,NH,HY,1.6,
F164,264,Pink,Cellulose Acetate Filter ATR 64,91.94,Cardboard/Cellulose,0.95,Dyed Cellulose,Dyed Natural,3,COTE,feces,skin,NJ,AHY,0.7,
F164,265,Clear/White,Epoxide Resin,87.27,Polyester,0.98,Polyester,Synthetic,3,COTE,feces,skin,NJ,AHY,3.3,
F164,267,Clear/White,Copolyamide,74.02,Copolyamide,0.9,Copolyamide,Synthetic,3,COTE,feces,skin,NJ,AHY,7.7,
F164,268,Clear/White,Polyethylene Terephtalate,86.54,Polyester,0.87,Polyester,Synthetic,3,COTE,feces,skin,NJ,AHY,2.4,
F161,270,Multicolor,Cellulose #31,74.95,Cellulose,0.97,Dyed Cellulose,Dyed Natural,3,COTE,feces,skin,NJ,AHY,1.9,
F161,271,Red,Cellulose Acetate Filter ATR 64,86.43,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,COTE,feces,skin,NJ,AHY,0.7,
B014,272,Blue,Polyethylene Terephtalate,91.8,PET,0.97,Polyester,Synthetic,3,field blank,blank,rock,NH,,,
F097,273,Blue,Cellulose Acetate Filter ATR 64,95.37,Cellulose,0.97,Dyed Cellulose,Dyed Natural,3,COTE,feces,paper,NH,HY,1,
F165,274,Clear/White,Polytetrfluoroethylene,97.41,Teflon/PFTE,0.98,Polytetrfluoroethylene,Synthetic,3,COTE,feces,skin,NJ,AHY,1.4,"this is all twirled up though, it would probably be double the size if it were strethced out"
F165,275,Multicolor,Cellulose Acetate Filter ATR 64,93.74,Cellulose,0.99,Cellulose,Natural,3,COTE,feces,skin,NJ,AHY,,
F165,276,Blue,Cellulose #31,86.33,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,COTE,feces,skin,NJ,AHY,0.5,
F162,277,Pink,Fur Dog #62,74.26,Fur Red Deer,0.83,Dyed textile,Dyed Natural,3,COTE,feces,skin,NJ,AHY,1.1,
F162,278,Blue,Cellulose #31,86.62,Cellulose,0.97,Dyed Cellulose,Dyed Natural,3,ROST,feces,skin,NJ,AHY,0.4,
F162,279,Clear/White,Fibre Polyamide,92.75,Fibre Polyamide,0.96,Polyamide,Synthetic,3,ROST,feces,skin,NJ,AHY,2,
F163,281,Clear/White,Polyethylene Terephtalate,87.19,Polyesterterpthalate,0.98,Polyester,Synthetic,3,COTE,feces,cloth,NJ,AHY,1.4,
F163,282,Clear/White,Polyethylene Terephtalate,79.57,Polyethylene terepthalate,0.98,Polyester,Synthetic,3,COTE,feces,cloth,NJ,AHY,2,
F163,283,Pink,Cellulose #31,91.43,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,COTE,feces,cloth,NJ,AHY,0.7,
F163,284,Purple,Hydroxyethyl Cellulose #100,62.18,Cardboard/Cellulose,0.96,Dyed Cellulose,Dyed Natural,3,COTE,feces,cloth,NJ,AHY,0.6,
F016,285,Blue,Methyl Alcohol Spectrophotometric Grade,70.24,Cellulose,0.98,Dyed Cellulose,Dyed Natural,3,COTE,feces,cloth,NH,AHY,4.7,
F016,286,Blue,Cellulose Acetate Filter ATR 64,64.06,Cellulose,0.97,Dyed Cellulose,Dyed Natural,3,COTE,feces,cloth,NH,AHY,2.5,
F151,287,Clear/White,Cellulose #31,81.58,Cellulose,0.93,Cellulose,Natural,3,COTE,feces,skin,NJ,AHY,,
F007,289,Clear/White,Cellulose Acetate Filter ATR 64,82.01,Cellulose,0.93,Cellulose,Natural,3,COTE,feces,skin,NH,AHY,,
